S:\Data\2020\AlexVanLeeuwen\RM_garnet_maps.b\RM03 - 1.d,,,,,,,,,
Intensity Vs Time,,,,,,,,,
Acquired      : 3/09/2020 07:39:21 using Batch RM_garnet_maps.b,,,,,,,,,
Time [Sec],Mg24,Al27,Si29,P31,Ca43,Ti49,Cr53,Mn55,Fe57
0.3502,1000.03,7001.64,4000.54,3500.41,600.01,0,0,2500.21,1000.03
0.6292,1000.03,6001.21,6001.21,3500.41,200,0,200,0,500.01
0.9082,1000.03,5000.84,8002.15,3000.3,800.02,0,200,1500.08,500.01
1.1872,500.01,6001.21,6001.21,7001.65,200,0,200,1500.08,1000.03
1.4663,0,4500.68,5501.02,3000.3,0,200,0,1000.03,1000.03
1.7453,0,6001.21,4000.54,2500.21,0,0,400.01,1000.03,0
