eastern blue robin,#e6e6c0,#f2ea8d,#fcee2d,#e1d41f,#a19935,#5b5222,#191a16,#0d1d51,#1b3267,#3f5e8b,#5a75a5,#848cb2,#cfd5da
lazuli bunting,#160f0e,#004e7c,#0075ae,#0098d4,#57caf0,#c8d1e2,#ebdecd,#e7c797,#cd9234,#ab6c29,#b25d27,#73451c,
golden-hooded tanager,#111e29,#383641,#626f81,#508ac8,#5acaec,#d2edf5,#f2edd8,#faedbe,#fac67b,#f5b070,#de7226,#c43427,
lilac breasted roller,#0a0707,#5f1016,#98384f,#ab5695,#355daa,#41a5dc,#55b0a9,#cad9e1,,,,,
dwarf kingfisher,#100d0a,#5a516a,#34489e,#6e2c91,#b4216a,#ed645a,#f09b20,#f09b20,,,,,
mandarin duck,#4d7fc1,#004e7c,#557f85,#ac6b8d,#fcc56d,#b88345,#b88345,#264493,#f2727f,#635039,#1a171f,#cfb779,#f5844c
cedar waxwing,#B69C31,#DBBF42,#FBE49D,#F7E7E2,#D89988,#CE7950,#A48288,#BDA7BE,#8D85AC,#59597C,#34314C,,
