Xc,Yc,array
6.6,16,14.23641586303711
13.2,16,11.659232139587402
19.799999999999997,16,10.894044876098633
26.4,16,23.980466842651367
33.0,16,18.08850479125977
39.599999999999994,16,13.231414794921877
46.2,16,9.072885513305664
52.8,16,15.61289119720459
59.4,16,21.26338005065918
66.0,16,6.555461406707764
72.6,16,13.749747276306152
79.19999999999999,16,26.23872756958008
85.8,16,14.485941886901855
92.4,16,14.01229190826416
99.0,16,17.994068145751953
105.6,16,16.17477035522461
112.2,16,30.185258865356445
118.8,16,11.033059120178224
125.4,16,12.205641746520996
132.0,16,31.68353843688965
138.6,16,15.839529037475586
145.2,16,17.03502655029297
151.79999999999998,16,20.82201385498047
158.39999999999998,16,22.54151725769043
165.0,16,15.770886421203612
171.6,16,12.620599746704102
178.2,16,27.95343399047852
184.8,16,10.406251907348633
191.4,16,13.181949615478516
198.0,16,14.969852447509766
204.6,16,16.409793853759766
211.2,16,11.872776985168455
217.8,16,7.578144073486328
224.4,16,18.55925941467285
231.0,16,11.17663860321045
237.6,16,23.240535736083984
244.2,16,13.557088851928713
250.8,16,25.94354248046875
257.4,16,18.523664474487305
264.0,16,12.950726509094238
270.59999999999997,16,7.441211223602295
277.2,16,10.419296264648438
283.8,16,15.936408042907717
290.4,16,12.43762493133545
297.0,16,13.83724880218506
303.59999999999997,16,17.09555435180664
310.2,16,15.950210571289062
316.79999999999995,16,2.3587679862976074
323.4,16,0.2406539618968963
330.0,16,10.756293296813965
336.59999999999997,16,25.70801926
343.2,16,12.597947120666504
349.79999999999995,16,13.639753341674805
356.4,16,9.44554615
363.0,16,12.331276893615724
369.6,16,8.281099319458008
376.2,16,12.427058219909668
382.7999999999999,16,10.544761657714844
389.4,16,11.63981819152832
396.0,16,10.24300765991211
402.6,16,8.890637397766113
409.2,16,12.515400886535645
415.7999999999999,16,5.690897941589356
422.4,16,25.23634147644043
429.0,16,10.348995208740234
435.6,16,12.493257522583008
442.2,16,17.89873504638672
448.7999999999999,16,79.24910736083984
455.4,16,141.1448516845703
462.0,16,13.002938270568848
468.6,16,17.86432647705078
475.2,16,8.301025391
481.7999999999999,16,11.908098220825195
488.4,16,7.7839436531066895
495.0,16,11.866989135742188
501.6,16,16.68674087524414
508.2,16,11.642157554626465
514.8,16,27.556339263916016
521.4,16,22.379758834838867
528.0,16,28.11333656311035
534.6,16,31.373735427856445
541.1999999999999,16,15.454268455505373
547.8,16,13.652704238891602
554.4,16,39.20396805
561.0,16,-0.222937927
567.6,16,1.0751107931137085
574.1999999999999,16,0.782410204
580.8,16,2.3207249641418457
587.4,16,0.088925228
594.0,16,-0.398836821
600.6,16,4.280498027801514
607.1999999999999,16,43.90001678466797
613.8,16,119.50943756103516
620.4,16,67.67628479003906
627.0,16,161.4219207763672
633.5999999999999,16,169.0863800048828
640.1999999999999,16,141.41957092285156
646.8,16,85.95418548583984
653.4,16,107.77572631835938
660.0,16,16.69262695
666.5999999999999,16,8.330993652
673.1999999999999,16,1.7472542524337769
679.8,16,39.77829360961914
686.4,16,20.634849548339844
693.0,16,10.21648406982422
699.5999999999999,16,6.238518238067627
706.1999999999999,16,12.737800598144531
712.8,16,14.60584545135498
719.4,16,18.459741592407227
726.0,16,7.303746223449707
732.5999999999999,16,12.861334800720217
739.1999999999999,16,16.516748428344727
745.8,16,16.04961395263672
752.4,16,9.448089599609377
759.0,16,15.144749641418455
765.5999999999999,16,11.108095169067385
772.1999999999999,16,7.55877161
778.8,16,17.99897575378418
785.4,16,20.445894241333008
792.0,16,22.968101501464844
798.5999999999999,16,11.815640449523926
805.1999999999999,16,11.973847389221191
811.8,16,12.94465446472168
818.4,16,21.255565643310547
825.0,16,12.254955291748049
831.5999999999999,16,13.536660194396973
838.1999999999999,16,23.40215301513672
844.8,16,14.224458694458008
851.4,16,23.31825828552246
858.0,16,19.243566513061523
864.5999999999999,16,21.93610382080078
871.1999999999999,16,13.761314392089844
